message_id,timestamp,affiliate_id,subject,message_text,language,country
MSG0001,2026-01-05T09:12:18+04:00,AFF-1042,Tracking link not working,"Hi team, my tracking link returns a 404 when I click it. Can you confirm the correct URL format and whether the campaign is active?",en,United Arab Emirates
MSG0002,2026-01-05T10:03:44+04:00,AFF-1187,Payout schedule question,"Hello, could you share your payout schedule for January and the minimum payout threshold?",en,United Kingdom
MSG0003,2026-01-05T11:27:09+04:00,AFF-1315,Coupon approval request,I want to promote your brand with a coupon code. Can you approve a unique code for my audience this week?,en,Germany
MSG0004,2026-01-05T14:15:31+04:00,AFF-1420,Missing conversions,I’m seeing clicks but zero conversions since yesterday. Could there be an attribution or pixel issue?,en,United States
MSG0005,2026-01-06T08:41:02+04:00,AFF-1559,Creative assets needed,"Do you have updated banners (300x250, 728x90, 1080x1080) and brand guidelines I can use?",en,France
MSG0006,2026-01-06T09:55:18+04:00,AFF-1693,Commission rate increase,My traffic is growing and I’d like to discuss a higher commission tier based on performance. Who can I speak to?,en,Spain
MSG0007,2026-01-06T12:19:46+04:00,AFF-1738,Deep link support,Can you enable deep linking to specific product pages? I need to link directly to a category landing page.,en,Italy
MSG0008,2026-01-06T15:02:11+04:00,AFF-1811,Attribution window,What is your attribution window for last-click and view-through?,en,Netherlands
MSG0009,2026-01-07T09:08:37+04:00,AFF-1926,Program policies,Please confirm whether PPC bidding on brand keywords is allowed and if there are any restricted terms.,en,Canada
MSG0010,2026-01-07T10:44:59+04:00,AFF-2064,Invoice needed,"Could you provide an invoice template or confirm the details you need for payments (VAT, address, etc.)?",en,Ireland
MSG0011,2026-01-07T13:06:12+04:00,AFF-2179,Rejected transaction,One of my transactions was rejected as 'invalid'. Can you share the reason code and what to do next?,en,Australia
MSG0012,2026-01-07T16:33:28+04:00,AFF-2290,API access,Do you have an API or product feed (CSV/XML) for price and availability updates?,en,Sweden
MSG0013,2026-01-08T08:22:14+04:00,AFF-2357,Promo timing,I’m planning a newsletter on Friday. Can you confirm any upcoming promos or free shipping offers?,en,United Kingdom
MSG0014,2026-01-08T09:47:03+04:00,AFF-2413,Link shortener issue,"When I shorten your tracking links, conversions stop tracking. Is link shortener usage supported?",en,United States
MSG0015,2026-01-08T11:31:50+04:00,AFF-2566,Product feed missing images,The product feed doesn’t include image URLs for many SKUs. Can you provide an updated feed?,en,Germany
MSG0016,2026-01-08T14:09:22+04:00,AFF-2681,Mobile app tracking,Do you support app-to-web or app installs tracking? My audience is mostly mobile.,en,United Arab Emirates
MSG0017,2026-01-09T09:19:05+04:00,AFF-2794,Payment method change,I need to update my payout method from PayPal to bank transfer. What’s the process?,en,France
MSG0018,2026-01-09T10:58:41+04:00,AFF-2833,Compliance question,Are we allowed to use your logo in a YouTube thumbnail and video intro?,en,United States
MSG0019,2026-01-09T12:42:57+04:00,AFF-2970,Higher EPC discussion,My EPC is low compared to other advertisers. Can we review the landing page or offer to improve conversion?,en,Netherlands
MSG0020,2026-01-09T15:27:33+04:00,AFF-3012,UTM parameters,Can I append UTM parameters to your tracking URL for analytics without breaking tracking?,en,Spain
MSG0021,2026-01-10T09:05:21+04:00,AFF-3148,New affiliate onboarding,"Hi, I just joined. Can you share best-performing categories and any starter creatives?",en,Italy
MSG0022,2026-01-10T10:36:10+04:00,AFF-3265,Out of date banners,Some banners show last season’s offer. Please send current creatives or confirm the correct promo text.,en,United Kingdom
MSG0023,2026-01-10T12:01:39+04:00,AFF-3389,S2S postback,Do you support server-to-server postback tracking? I can provide my postback URL.,en,United States
MSG0024,2026-01-10T14:48:55+04:00,AFF-3471,Geo restrictions,Is the offer valid for my country? I’m based in Portugal and want to ensure users can checkout.,en,Portugal
MSG0025,2026-01-11T08:57:13+04:00,AFF-3590,Return period impact,How long is your return/cancellation window before commissions are finalized?,en,Germany
MSG0026,2026-01-11T10:22:44+04:00,AFF-3644,Brand partnership proposal,I’d like to propose a long-term partnership with monthly placements. Do you have a media kit or rate card?,en,United Kingdom
